Yorumcu_Adi,Yorum_Metni,Puan,Tarih,Platform
Maher SMS,"Bu havalimanındaki deneyimimiz çok hayal kırıklığı yarattı. Suriye kökenli Alman vatandaşı olan kardeşim, Alman büyükelçiliğiyle ilgili bir sorun olduğu iddiasıyla Berlin'e geri gönderildi. Daha sonra büyükelçiliğe gittiğinde herhangi bir …",1,36 dakika önce,Google Maps (Firefox)
Andrej Fedorenko,"İçme suyu yok; Wi-Fi yok (ya da çok zayıf ağ kapsama alanı var ve kayıt gerekiyor); çok kirli, sıkışık ve tamamen aşırı kalabalık.",1,2 saat önce,Google Maps (Firefox)
Kübra,"Evet çok güzel kullanışlı metro hattına yakın vs vs birçok güzel özelliğe sahip, çok kullanılıyor ona da tamamız ancak tuvaletler çok pis, aynı paspasla sürekli silinmekten umumi tuvalet gibi kokuyor, yerler yapış yapış, ülkenin ilk gözlemi …",1,9 saat önce,Google Maps (Firefox)
Özcan ERSOY,Sabiha Gökçen havalimanı çok iyi işlemler çok hızlı ilerliyor ben memnun kaldım,5,20 saat önce,Google Maps (Firefox)
A L,"Su çeşmesi yok, her şeyde fahiş fiyatlar, özellikle de şişe su (büyük şişe 8€+). Çok kalabalık ve yeterli koltuk yok. Çoğunlukla restoranlar, duty free mağazaları ve lokumcular var; seyahat malzemeleri satan dükkanlar, eczaneler veya …",2,21 saat önce,Google Maps (Firefox)
kardelen erol,"Çok küçük bir havaalanı
Otopark çok yetersiz.
Trafik yoğun,Giriş çıkış çok zor",1,22 saat önce düzenlendi,Google Maps (Firefox)
Slam Grob,Al Salam Group Araç Kiralama Şirketi,5,23 saat önce,Google Maps (Firefox)
selimbey,personeller kötü,1,23 saat önce,Google Maps (Firefox)
Engin E.,"-Corona kuralları resmen yok. Neredeyse herkes maskesiz dolaşıyor.

+Çalışanlar yardımcı oluyorlar herhangi bi sorun varsa.",2,bir gün önce düzenlendi,Google Maps (Firefox)
Nic Nic,"Acilen modernize edilmeli. Eski, kirli ve çok az sayıda koltuk ve tuvalet var. Fiyatlar da astronomik derecede yüksek.",1,bir gün önce,Google Maps (Firefox)
Tahir Can Deniz,Şu valizler tek banttan çıkmasa ve insanlar 1 bavul için 30-45 dak beklemeseler iyi olurdu,3,bir gün önce,Google Maps (Firefox)
Mustafa Yüksel,"Müze gibi oldu artı burası , tadilat lazım, fiyatlar makul burger vs dış piyasa gibi çok fark yok",2,bir gün önce,Google Maps (Firefox)
J. E.,"Dünya çapında birçok havalimanı gördüm ama bu açık ara en kötüsüydü. Havalimanının tamamı son derece kötü bir izlenim bırakıyordu: kirli, aşırı kalabalık ve tamamen kaotik bir şekilde düzenlenmişti. …",1,bir gün önce,Google Maps (Firefox)
Ali Rahimi,"Genel olarak personel çok yardımsever, ancak yiyecek ve mal fiyatları yüksek ama bu kabul edilebilir. WC'lerin daha iyi bakıma ihtiyacı var!!!",4,bir gün önce düzenlendi,Google Maps (Firefox)
Admir Dzinic,"Sabiha Gökçen Havalimanı (SAW), iyi bir navigasyon ve geniş bir mağaza ve restoran yelpazesi sunmaktadır. Bilgi sisteminin ek uçuş ekranlarıyla güncellenmesi ve daha fazla sayıda bilgi masasının eklenmesi önemli bir gelişme olacaktır. Bu, …",5,bir gün önce,Google Maps (Firefox)
